LINE_ID,NAME,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,NUM_LINES
l_794,Mudgeeraba to Robina,599,598,5.6389896212679615e-06,0.011478085737815228,5.0106942469145345e-06,1
l_795,Molendinar to Robina,598,314,1.8714621377387872e-05,0.038093354155191154,1.6629441081995763e-05,1
l_796,Molendinar to Nerang,597,314,5.8927180458787895e-06,0.011994546452837615,5.2361522886674625e-06,1
l_797,Mudgeeraba to Merrimac,599,606,1.1013130806010425e-05,0.022417076129453452,9.786049430214297e-06,2
l_799,Robina to SSQR47,598,177,1.5081314279388017e-07,0.00030697807579725445,1.3400956513668428e-07,1
l_800,Bouldercombe to Rockhampton,223,228,2.1576696814547294e-05,0.04501328693956682,3.8789926106313515e-05,1
l_801,Woolooga to Teebar Creek,388,671,1.1024429523781148e-05,0.02535646193379036,0.0003386479161043494,1
l_802,Gin Gin to Bundaberg,1,717,4.992030179638691e-05,0.10414369206668965,8.974519290557804e-05,1
l_803,Gin Gin to Bundaberg,1,717,4.98174694581256e-05,0.10392916332818034,8.956032407061318e-05,1
l_804,Gin Gin-H6 to Calliope River-H67,717,616,3.0287716892655157e-05,0.0696625017007343,0.0009303766863519554,1
l_805,Gin Gin to Korenan Tee,717,720,5.385022706399695e-05,0.1123422988897098,9.681029244533474e-05,1
l_806,Gin Gin to Wurdong,717,432,3.116692059864579e-05,0.0716846920784685,0.0009573840251192526,1
l_807,Molendinar to Southport,314,581,8.568357945385458e-06,0.017440774630705987,7.613672793530256e-06,1
l_808,Bundaberg to Clayton,1,2,8.541032166720232e-06,0.01781829419883399,1.5354806598355394e-05,1
l_809,Isis to Aramara,672,673,2.8070389821638413e-05,0.05856042388726573,5.04640889342549e-05,1
l_810,Isis to Aramara,672,673,2.8477926079202637e-05,0.05941062568866693,5.119674516298319e-05,1
l_811,Granite Creek to Korenan Tee,718,720,1.8581070880516876e-06,0.0038763814608787895,3.34044813544156e-06,1
l_812,Wurdong to Calvale,930,432,2.1028548831862467e-05,0.04836618501009681,0.0006459539902039602,1
l_813,Nebo 275 to Broadsound,178,622,3.379101753420778e-05,0.07772018025621255,0.0010379909133910632,1
l_814,Nebo 275 to Broadsound,178,622,3.379221639382341e-05,0.07772293766312799,0.001038027739905275,1
l_815,Nebo 275 to Broadsound,178,622,3.4040120645987943e-05,0.07829312360514658,0.001045642851254831,1
l_816,Nebo 132 to Wandoo,841,840,2.683059886246762e-05,0.05597397301992955,4.823523063834156e-05,1
l_817,South Pine to Brendale,410,233,3.817148792687293e-07,0.0007769753813913012,3.391842649079793e-07,2
l_819,South Pine to Brendale,410,233,3.7686606142844453e-07,0.000767105679434779,3.3487570162121297e-07,1
l_820,Murarie to Doboy,230,100,4.54696779071463e-07,0.0009255290336422264,4.0403453242597893e-07,1
l_821,Murarie to Doboy,230,100,3.7559920573376985e-07,0.0007645270121100383,3.3374999879724676e-07,2
l_823,Newstead to Victoria Park,316,229,3.918903155493569e-06,0.00797687341847518,3.4822595561066964e-06,2
l_825,Newstead to Queensland Rail-Mayne,906,229,2.3402522946684282e-06,0.00476355132575737,2.079501736445279e-06,2
l_827,Newstead to McLachlan Street,229,393,2.7098127969091032e-06,0.005515786640046655,2.4078858631831856e-06,2
l_829,Point Henry to Geelong Terminal,863,861,1.0814033111406592e-05,0.024101868803167417,0.000140413683169669,2
l_831,Geelong Terminal to Moorabool Terminal,861,862,2.5773284967719082e-06,0.005744242934334923,3.346505260726155e-05,2
l_834,Moorabool Terminal to Ballarat Terminal,302,862,2.2168196858483906e-05,0.049407558381007285,0.00028784063614959067,1
l_835,Moorabool Terminal to Tarrone Terminal,618,862,1.2851974311342771e-05,0.032159362863686966,0.003965576343657962,1
